frame.len,frame.time_delta,frame.time_delta_displayed,frame.time_epoch,frame.time_relative,radiotap.length,radiotap.timestamp.ts,wlan.duration,wlan.fc.frag,wlan.fc.order,wlan.fc.moredata,wlan.fc.protected,wlan.fc.pwrmgt,wlan.fc.type,wlan.fc.retry,wlan.fc.subtype,wlan_radio.duration,wlan.seq,wlan_radio.data_rate,wlan_radio.signal_dbm,wlan_radio.phy,wlan.sa,wlan.da,wlan.bssid,frame.interface_name
150,0.000000030,0.000000030,1744874371.303444210,0.347206050,68,1198896300,44,False,False,False,True,False,2,False,8,,953,229.4,-43,11,ee:64:43:f1:4e:4e,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,wlo1
87,0.000808774,0.000808774,1744874371.304252984,0.348014824,13,,0,False,False,False,True,False,2,False,8,688,3364,1,,4,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,ee:64:43:f1:4e:4e,wlo1
99,0.000084549,0.000084549,1744874371.304337533,0.348099373,13,,0,False,False,False,True,False,2,False,8,784,3365,1,,4,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,ee:64:43:f1:4e:4e,wlo1
99,0.000016441,0.000016441,1744874371.304353974,0.348115814,13,,0,False,False,False,True,False,2,False,8,784,3366,1,,4,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,ee:64:43:f1:4e:4e,wlo1
99,0.000013034,0.000013034,1744874371.304367008,0.348128848,13,,0,False,False,False,True,False,2,False,8,784,3367,1,,4,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,ee:64:43:f1:4e:4e,wlo1
107,0.000105449,0.000105449,1744874371.304472457,0.348234297,13,,0,False,False,False,True,False,2,False,8,848,3368,1,,4,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,ee:64:43:f1:4e:4e,wlo1
616,0.000561979,0.000561979,1744874371.305034436,0.348796276,13,,0,False,False,False,True,False,2,False,8,4920,3369,1,,4,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,ee:64:43:f1:4e:4e,wlo1
616,0.000006662,0.000006662,1744874371.305041098,0.348802938,13,,0,False,False,False,True,False,2,False,8,4920,3370,1,,4,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,ee:64:43:f1:4e:4e,wlo1
616,0.000230765,0.000230765,1744874371.305271863,0.349033703,13,,0,False,False,False,True,False,2,False,8,4920,3371,1,,4,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,ee:64:43:f1:4e:4e,wlo1
122,0.000273075,0.000273075,1744874371.305544938,0.349306778,13,,0,False,False,False,True,False,2,False,8,968,3372,1,,4,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,ee:64:43:f1:4e:4e,wlo1
